gender,age,race,marital-status,education,native-country,workclass,occupation,ID,income
Female,27,White,Never-married,Bachelors,United-States,Private,Other-service,564,<=50K
Female,27,White,Never-married,Bachelors,United-States,Private,Adm-clerical,1131,<=50K
Female,27,White,Never-married,Some-college,United-States,Private,Adm-clerical,2299,<=50K
Female,27,White,Never-married,Some-college,United-States,Self-emp-inc,Adm-clerical,2420,<=50K
Female,27,White,Separated,Assoc-voc,United-States,Private,Adm-clerical,3071,<=50K
Female,27,White,Never-married,Assoc-voc,United-States,Private,Adm-clerical,3410,<=50K
Female,27,White,Never-married,Some-college,United-States,Private,Adm-clerical,3664,<=50K
Female,27,White,Never-married,Some-college,United-States,Private,Adm-clerical,4143,<=50K
Female,27,White,Never-married,Some-college,United-States,Private,Adm-clerical,4728,<=50K
Female,27,White,Divorced,Some-college,United-States,Private,Adm-clerical,5107,<=50K
Female,27,White,Never-married,Doctorate,United-States,Private,Adm-clerical,6653,<=50K
Female,27,White,Never-married,Bachelors,United-States,Private,Adm-clerical,7494,<=50K
Female,27,White,Never-married,Some-college,United-States,Private,Other-service,7825,<=50K
Female,27,White,Never-married,Bachelors,United-States,Private,Adm-clerical,9570,<=50K
Female,27,White,Never-married,Some-college,United-States,Private,Adm-clerical,10903,<=50K
Female,27,White,Never-married,Some-college,United-States,Private,Adm-clerical,11209,<=50K
Female,27,White,Never-married,Bachelors,United-States,Private,Other-service,11445,<=50K
Female,27,White,Divorced,Bachelors,United-States,Private,Adm-clerical,12402,<=50K
Female,27,White,Divorced,Some-college,United-States,Private,Adm-clerical,12806,<=50K
Female,27,White,Divorced,Some-college,United-States,Private,Adm-clerical,13114,<=50K
Female,27,White,Never-married,Masters,United-States,Private,Adm-clerical,13134,<=50K
Female,27,White,Never-married,Some-college,United-States,Private,Adm-clerical,14762,<=50K
Female,27,White,Divorced,Some-college,United-States,Private,Adm-clerical,15573,<=50K
Female,27,White,Never-married,Some-college,United-States,Private,Adm-clerical,15577,<=50K
Female,27,White,Never-married,Bachelors,United-States,Private,Adm-clerical,16823,<=50K
Female,27,White,Never-married,Some-college,United-States,Private,Adm-clerical,16934,<=50K
Female,27,White,Never-married,Some-college,United-States,Private,Other-service,17454,<=50K
Female,27,White,Never-married,Bachelors,United-States,Private,Protective-serv,17885,<=50K
Female,27,White,Never-married,Bachelors,United-States,Private,Adm-clerical,18496,<=50K
Female,27,White,Never-married,Some-college,United-States,Private,Adm-clerical,18614,<=50K
Female,27,White,Never-married,Bachelors,United-States,Private,Adm-clerical,19729,<=50K
Female,27,White,Never-married,Bachelors,United-States,Private,Adm-clerical,19995,<=50K
Female,27,White,Divorced,Some-college,United-States,Private,Adm-clerical,20642,<=50K
Female,27,White,Never-married,Some-college,United-States,Private,Adm-clerical,22280,<=50K
Female,27,White,Never-married,Bachelors,United-States,Private,Adm-clerical,23797,<=50K
Female,27,White,Never-married,Some-college,United-States,Private,Adm-clerical,24026,<=50K
Female,27,White,Never-married,Some-college,United-States,Private,Adm-clerical,25154,<=50K
Female,27,White,Separated,Some-college,United-States,Private,Adm-clerical,25287,<=50K
Female,27,White,Widowed,Some-college,United-States,Private,Adm-clerical,25308,<=50K
Female,27,White,Never-married,Some-college,United-States,Private,Adm-clerical,27186,<=50K
Female,27,White,Divorced,Assoc-voc,United-States,Private,Adm-clerical,29103,<=50K
Female,27,White,Never-married,Some-college,United-States,Private,Other-service,29535,<=50K
Female,27,White,Never-married,Some-college,United-States,Private,Other-service,30094,<=50K
