gender,age,race,marital-status,education,native-country,workclass,occupation,ID,income
Female,37,White,Married-civ-spouse,Masters,United-States,Private,Exec-managerial,5,<=50K
Female,28,White,Married-civ-spouse,Some-college,United-States,Private,Sales,104,<=50K
Female,47,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,116,>50K
Female,58,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Sales,193,>50K
Female,44,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Sales,420,>50K
Female,30,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,422,<=50K
Female,28,White,Married-civ-spouse,Some-college,United-States,Private,Sales,482,<=50K
Female,41,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Exec-managerial,490,>50K
Female,44,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,668,<=50K
Female,22,White,Married-civ-spouse,Some-college,Germany,Private,Sales,707,<=50K
Female,36,White,Married-civ-spouse,Bachelors,United-States,Self-emp-inc,Exec-managerial,872,>50K
Female,29,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Sales,1012,>50K
Female,33,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,1024,>50K
Female,69,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,1026,<=50K
Female,41,White,Married-civ-spouse,HS-grad,Cuba,Self-emp-not-inc,Sales,1136,<=50K
Female,26,White,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,1483,<=50K
Female,52,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,1493,>50K
Female,49,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,1558,<=50K
Female,25,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,1613,<=50K
Female,25,White,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,1737,<=50K
Female,32,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Exec-managerial,1870,>50K
Female,36,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Exec-managerial,2004,>50K
Female,26,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,2130,>50K
Female,33,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,2417,>50K
Female,40,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,2580,<=50K
Female,38,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,2593,<=50K
Female,54,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Sales,2619,<=50K
Female,29,White,Married-civ-spouse,Some-college,United-States,Private,Sales,2628,<=50K
Female,26,White,Married-civ-spouse,Masters,United-States,Private,Sales,2677,<=50K
Female,49,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Sales,2687,>50K
Female,44,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Sales,2764,<=50K
Female,27,White,Married-civ-spouse,10th,Mexico,Private,Exec-managerial,2907,<=50K
Female,27,White,Married-civ-spouse,Some-college,United-States,Private,Handlers-cleaners,2914,<=50K
Female,39,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,2942,<=50K
Female,57,White,Married-civ-spouse,Prof-school,United-States,Self-emp-not-inc,Sales,2961,>50K
Female,57,White,Married-civ-spouse,Bachelors,United-States,Self-emp-inc,Sales,3084,>50K
Female,45,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Sales,3313,<=50K
Female,39,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,3346,<=50K
Female,44,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,3534,>50K
Female,46,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,3548,>50K
Female,39,White,Married-civ-spouse,Bachelors,Poland,Private,Handlers-cleaners,3706,>50K
Female,29,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Exec-managerial,3820,<=50K
Female,27,White,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,4005,>50K
Female,46,White,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,4465,>50K
Female,43,White,Married-civ-spouse,HS-grad,Portugal,Private,Exec-managerial,4491,>50K
