gender,age,race,marital-status,education,native-country,workclass,occupation,ID,income
Male,46,White,Divorced,Some-college,United-States,Self-emp-not-inc,Exec-managerial,506,<=50K
Male,43,White,Divorced,Bachelors,United-States,Self-emp-not-inc,Exec-managerial,2118,<=50K
Male,50,White,Divorced,Bachelors,United-States,Self-emp-not-inc,Exec-managerial,3032,<=50K
Male,54,White,Divorced,Bachelors,United-States,Self-emp-not-inc,Exec-managerial,15168,<=50K
Male,50,White,Divorced,Bachelors,United-States,Self-emp-not-inc,Sales,15642,<=50K
Male,44,White,Divorced,Bachelors,United-States,Self-emp-not-inc,Exec-managerial,20195,<=50K
Male,43,White,Divorced,Bachelors,United-States,Self-emp-not-inc,Sales,21429,<=50K
Male,44,White,Divorced,Bachelors,United-States,Self-emp-not-inc,Exec-managerial,21444,<=50K
Male,45,White,Divorced,Bachelors,United-States,Self-emp-not-inc,Exec-managerial,23067,<=50K
Male,47,White,Divorced,Bachelors,United-States,Self-emp-not-inc,Sales,25462,<=50K
Male,48,White,Divorced,Some-college,United-States,Self-emp-not-inc,Sales,27383,>50K
