gender,age,race,marital-status,education,native-country,workclass,occupation,ID,income
Male,57,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Farming-fishing,3691,<=50K
Male,58,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Farming-fishing,5111,<=50K
Male,56,White,Married-civ-spouse,Some-college,United-States,Private,Transport-moving,5858,>50K
Male,60,White,Married-civ-spouse,Some-college,United-States,Private,Transport-moving,8819,<=50K
Male,56,White,Married-civ-spouse,Some-college,United-States,Private,Farming-fishing,9683,>50K
Male,57,White,Married-civ-spouse,Some-college,United-States,Private,Protective-serv,10412,<=50K
Male,60,White,Married-civ-spouse,Some-college,United-States,Private,Protective-serv,10965,<=50K
Male,57,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Farming-fishing,12691,<=50K
Male,58,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Farming-fishing,14948,>50K
Male,56,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Other-service,15958,>50K
Male,60,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Farming-fishing,17766,<=50K
Male,60,White,Married-civ-spouse,Some-college,United-States,Private,Transport-moving,18430,>50K
Male,57,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Other-service,19503,<=50K
Male,59,White,Married-civ-spouse,Some-college,United-States,Private,Transport-moving,19604,>50K
Male,56,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Farming-fishing,20635,<=50K
Male,60,White,Married-civ-spouse,Some-college,United-States,Private,Other-service,22605,<=50K
Male,58,White,Married-civ-spouse,Some-college,United-States,Private,Protective-serv,23141,>50K
Male,57,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Transport-moving,23730,>50K
Male,58,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Farming-fishing,25202,<=50K
Male,60,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Transport-moving,26191,<=50K
Male,56,White,Married-civ-spouse,Some-college,United-States,Private,Adm-clerical,26261,<=50K
Male,59,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Farming-fishing,29120,<=50K
Male,60,White,Married-civ-spouse,Some-college,United-States,Private,Protective-serv,29140,>50K
Male,59,White,Married-civ-spouse,Some-college,United-States,Private,Protective-serv,29550,<=50K
