gender,age,race,marital-status,education,native-country,workclass,occupation,ID,income
Male,19,White,Never-married,Some-college,United-States,Private,Adm-clerical,551,<=50K
Male,20,White,Never-married,Some-college,United-States,Private,Adm-clerical,1214,<=50K
Male,19,White,Never-married,Some-college,United-States,Private,Adm-clerical,1378,<=50K
Male,20,White,Never-married,Some-college,United-States,Private,Adm-clerical,3069,<=50K
Male,19,White,Never-married,Some-college,United-States,Private,Adm-clerical,4241,<=50K
Male,20,White,Never-married,Some-college,Yugoslavia,Private,Adm-clerical,5821,<=50K
Male,19,White,Never-married,Some-college,United-States,Private,Adm-clerical,6155,<=50K
Male,17,White,Never-married,Some-college,United-States,Private,Adm-clerical,6347,<=50K
Male,20,White,Never-married,Some-college,United-States,Private,Adm-clerical,6568,<=50K
Male,19,White,Never-married,Some-college,United-States,Private,Adm-clerical,7783,<=50K
Male,19,White,Never-married,Some-college,Thailand,Private,Adm-clerical,8631,<=50K
Male,19,White,Never-married,Some-college,United-States,Private,Adm-clerical,9788,<=50K
Male,20,White,Never-married,Some-college,United-States,Private,Adm-clerical,9795,<=50K
Male,18,White,Never-married,Some-college,United-States,Private,Adm-clerical,11606,<=50K
Male,20,White,Never-married,Some-college,United-States,Private,Adm-clerical,12442,<=50K
Male,20,White,Never-married,Some-college,United-States,Private,Adm-clerical,13180,<=50K
Male,20,White,Never-married,Some-college,England,Private,Adm-clerical,13345,<=50K
Male,18,White,Never-married,Some-college,United-States,Private,Adm-clerical,13979,<=50K
Male,20,White,Never-married,Some-college,United-States,Private,Adm-clerical,14088,<=50K
Male,19,White,Never-married,Some-college,United-States,Private,Adm-clerical,14588,<=50K
Male,19,White,Never-married,Some-college,Nicaragua,Private,Adm-clerical,15002,<=50K
Male,18,White,Never-married,Some-college,United-States,Private,Adm-clerical,15219,<=50K
Male,19,White,Never-married,Some-college,United-States,Private,Adm-clerical,17010,<=50K
Male,20,White,Never-married,Some-college,Nicaragua,Private,Adm-clerical,17242,<=50K
Male,20,White,Never-married,Some-college,United-States,Private,Adm-clerical,18530,<=50K
Male,20,White,Never-married,Some-college,United-States,Private,Adm-clerical,19525,<=50K
Male,19,White,Never-married,Some-college,United-States,Private,Adm-clerical,19703,<=50K
Male,20,White,Never-married,Some-college,United-States,Private,Adm-clerical,20522,<=50K
Male,19,White,Never-married,Some-college,United-States,Private,Adm-clerical,21944,<=50K
Male,19,White,Never-married,Some-college,United-States,Private,Adm-clerical,22846,<=50K
Male,18,White,Never-married,Some-college,United-States,Private,Adm-clerical,24394,<=50K
Male,18,White,Never-married,Some-college,United-States,Private,Adm-clerical,26685,<=50K
Male,18,White,Never-married,Some-college,United-States,Private,Adm-clerical,28316,<=50K
